first_min_on;last_min_on;timedelta_on;slice;ALG_catch24_kmeans_2;ALG_catch24_kmeans_3
2019-02-16 16:33:30+00:00;2019-02-16 16:35:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-16 16:33:30+0000', tz='UTC'), Timestamp('2019-02-16 16:35:00+0000', tz='UTC'), None);0;1
2019-02-16 17:06:00+00:00;2019-02-16 17:10:00+00:00;0 days 00:04:00;slice(Timestamp('2019-02-16 17:06:00+0000', tz='UTC'), Timestamp('2019-02-16 17:10:00+0000', tz='UTC'), None);1;2
2019-02-16 17:15:00+00:00;2019-02-16 17:32:30+00:00;0 days 00:17:30;slice(Timestamp('2019-02-16 17:15:00+0000', tz='UTC'), Timestamp('2019-02-16 17:32:30+0000', tz='UTC'), None);1;0
2019-02-16 18:11:00+00:00;2019-02-16 20:26:00+00:00;0 days 02:15:00;slice(Timestamp('2019-02-16 18:11:00+0000', tz='UTC'), Timestamp('2019-02-16 20:26:00+0000', tz='UTC'), None);1;0
2019-02-16 20:29:30+00:00;2019-02-16 22:26:00+00:00;0 days 01:56:30;slice(Timestamp('2019-02-16 20:29:30+0000', tz='UTC'), Timestamp('2019-02-16 22:26:00+0000', tz='UTC'), None);1;0
2019-02-16 22:51:00+00:00;2019-02-16 23:12:00+00:00;0 days 00:21:00;slice(Timestamp('2019-02-16 22:51:00+0000', tz='UTC'), Timestamp('2019-02-16 23:12:00+0000', tz='UTC'), None);1;0
2019-02-17 10:48:30+00:00;2019-02-17 12:12:00+00:00;0 days 01:23:30;slice(Timestamp('2019-02-17 10:48:30+0000', tz='UTC'), Timestamp('2019-02-17 12:12:00+0000', tz='UTC'), None);1;0
2019-02-17 12:16:30+00:00;2019-02-17 12:32:00+00:00;0 days 00:15:30;slice(Timestamp('2019-02-17 12:16:30+0000', tz='UTC'), Timestamp('2019-02-17 12:32:00+0000', tz='UTC'), None);1;0
2019-02-17 13:48:30+00:00;2019-02-17 14:08:00+00:00;0 days 00:19:30;slice(Timestamp('2019-02-17 13:48:30+0000', tz='UTC'), Timestamp('2019-02-17 14:08:00+0000', tz='UTC'), None);1;0
2019-02-17 14:12:00+00:00;2019-02-17 14:57:30+00:00;0 days 00:45:30;slice(Timestamp('2019-02-17 14:12:00+0000', tz='UTC'), Timestamp('2019-02-17 14:57:30+0000', tz='UTC'), None);1;0
2019-02-17 17:06:00+00:00;2019-02-17 17:17:00+00:00;0 days 00:11:00;slice(Timestamp('2019-02-17 17:06:00+0000', tz='UTC'), Timestamp('2019-02-17 17:17:00+0000', tz='UTC'), None);1;2
2019-02-17 18:22:30+00:00;2019-02-17 20:02:00+00:00;0 days 01:39:30;slice(Timestamp('2019-02-17 18:22:30+0000', tz='UTC'), Timestamp('2019-02-17 20:02:00+0000', tz='UTC'), None);1;0
2019-02-17 20:06:00+00:00;2019-02-17 20:22:30+00:00;0 days 00:16:30;slice(Timestamp('2019-02-17 20:06:00+0000', tz='UTC'), Timestamp('2019-02-17 20:22:30+0000', tz='UTC'), None);1;0
2019-02-17 20:26:00+00:00;2019-02-17 21:42:30+00:00;0 days 01:16:30;slice(Timestamp('2019-02-17 20:26:00+0000', tz='UTC'), Timestamp('2019-02-17 21:42:30+0000', tz='UTC'), None);1;0
2019-02-18 11:04:00+00:00;2019-02-18 12:10:00+00:00;0 days 01:06:00;slice(Timestamp('2019-02-18 11:04:00+0000', tz='UTC'), Timestamp('2019-02-18 12:10:00+0000', tz='UTC'), None);1;0
2019-02-18 13:01:30+00:00;2019-02-18 13:46:30+00:00;0 days 00:45:00;slice(Timestamp('2019-02-18 13:01:30+0000', tz='UTC'), Timestamp('2019-02-18 13:46:30+0000', tz='UTC'), None);1;0
2019-02-18 14:36:30+00:00;2019-02-18 14:56:30+00:00;0 days 00:20:00;slice(Timestamp('2019-02-18 14:36:30+0000', tz='UTC'), Timestamp('2019-02-18 14:56:30+0000', tz='UTC'), None);1;0
2019-02-18 15:00:30+00:00;2019-02-18 16:09:30+00:00;0 days 01:09:00;slice(Timestamp('2019-02-18 15:00:30+0000', tz='UTC'), Timestamp('2019-02-18 16:09:30+0000', tz='UTC'), None);1;0
2019-02-18 16:56:30+00:00;2019-02-18 16:58:30+00:00;0 days 00:02:00;slice(Timestamp('2019-02-18 16:56:30+0000', tz='UTC'), Timestamp('2019-02-18 16:58:30+0000', tz='UTC'), None);0;1
2019-02-18 17:54:30+00:00;2019-02-18 22:35:00+00:00;0 days 04:40:30;slice(Timestamp('2019-02-18 17:54:30+0000', tz='UTC'), Timestamp('2019-02-18 22:35:00+0000', tz='UTC'), None);1;0
2019-02-19 10:15:30+00:00;2019-02-19 10:44:00+00:00;0 days 00:28:30;slice(Timestamp('2019-02-19 10:15:30+0000', tz='UTC'), Timestamp('2019-02-19 10:44:00+0000', tz='UTC'), None);1;2
2019-02-19 11:09:00+00:00;2019-02-19 11:24:00+00:00;0 days 00:15:00;slice(Timestamp('2019-02-19 11:09:00+0000', tz='UTC'), Timestamp('2019-02-19 11:24:00+0000', tz='UTC'), None);1;2
2019-02-19 11:45:30+00:00;2019-02-19 11:53:30+00:00;0 days 00:08:00;slice(Timestamp('2019-02-19 11:45:30+0000', tz='UTC'), Timestamp('2019-02-19 11:53:30+0000', tz='UTC'), None);1;2
2019-02-19 11:57:00+00:00;2019-02-19 13:17:00+00:00;0 days 01:20:00;slice(Timestamp('2019-02-19 11:57:00+0000', tz='UTC'), Timestamp('2019-02-19 13:17:00+0000', tz='UTC'), None);1;0
2019-02-19 14:19:00+00:00;2019-02-19 14:31:00+00:00;0 days 00:12:00;slice(Timestamp('2019-02-19 14:19:00+0000', tz='UTC'), Timestamp('2019-02-19 14:31:00+0000', tz='UTC'), None);1;2
2019-02-19 14:38:30+00:00;2019-02-19 15:00:30+00:00;0 days 00:22:00;slice(Timestamp('2019-02-19 14:38:30+0000', tz='UTC'), Timestamp('2019-02-19 15:00:30+0000', tz='UTC'), None);1;0
2019-02-19 15:58:00+00:00;2019-02-19 16:19:00+00:00;0 days 00:21:00;slice(Timestamp('2019-02-19 15:58:00+0000', tz='UTC'), Timestamp('2019-02-19 16:19:00+0000', tz='UTC'), None);1;0
2019-02-19 17:07:30+00:00;2019-02-19 17:23:30+00:00;0 days 00:16:00;slice(Timestamp('2019-02-19 17:07:30+0000', tz='UTC'), Timestamp('2019-02-19 17:23:30+0000', tz='UTC'), None);1;2
2019-02-19 18:06:30+00:00;2019-02-19 19:18:00+00:00;0 days 01:11:30;slice(Timestamp('2019-02-19 18:06:30+0000', tz='UTC'), Timestamp('2019-02-19 19:18:00+0000', tz='UTC'), None);1;0
2019-02-19 19:22:30+00:00;2019-02-19 21:51:30+00:00;0 days 02:29:00;slice(Timestamp('2019-02-19 19:22:30+0000', tz='UTC'), Timestamp('2019-02-19 21:51:30+0000', tz='UTC'), None);1;0
2019-02-20 10:53:30+00:00;2019-02-20 11:17:00+00:00;0 days 00:23:30;slice(Timestamp('2019-02-20 10:53:30+0000', tz='UTC'), Timestamp('2019-02-20 11:17:00+0000', tz='UTC'), None);1;2
2019-02-20 11:21:00+00:00;2019-02-20 11:24:30+00:00;0 days 00:03:30;slice(Timestamp('2019-02-20 11:21:00+0000', tz='UTC'), Timestamp('2019-02-20 11:24:30+0000', tz='UTC'), None);1;2
2019-02-20 11:34:30+00:00;2019-02-20 11:58:30+00:00;0 days 00:24:00;slice(Timestamp('2019-02-20 11:34:30+0000', tz='UTC'), Timestamp('2019-02-20 11:58:30+0000', tz='UTC'), None);1;0
2019-02-20 13:03:30+00:00;2019-02-20 13:05:30+00:00;0 days 00:02:00;slice(Timestamp('2019-02-20 13:03:30+0000', tz='UTC'), Timestamp('2019-02-20 13:05:30+0000', tz='UTC'), None);0;1
2019-02-20 14:04:00+00:00;2019-02-20 14:05:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-20 14:04:00+0000', tz='UTC'), Timestamp('2019-02-20 14:05:30+0000', tz='UTC'), None);0;1
2019-02-20 15:03:00+00:00;2019-02-20 15:04:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-20 15:03:00+0000', tz='UTC'), Timestamp('2019-02-20 15:04:30+0000', tz='UTC'), None);0;1
2019-02-20 16:03:00+00:00;2019-02-20 16:04:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-20 16:03:00+0000', tz='UTC'), Timestamp('2019-02-20 16:04:30+0000', tz='UTC'), None);0;1
2019-02-20 17:02:00+00:00;2019-02-20 17:03:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-20 17:02:00+0000', tz='UTC'), Timestamp('2019-02-20 17:03:30+0000', tz='UTC'), None);0;1
2019-02-20 17:08:00+00:00;2019-02-20 17:20:30+00:00;0 days 00:12:30;slice(Timestamp('2019-02-20 17:08:00+0000', tz='UTC'), Timestamp('2019-02-20 17:20:30+0000', tz='UTC'), None);1;2
2019-02-20 18:12:30+00:00;2019-02-20 19:50:00+00:00;0 days 01:37:30;slice(Timestamp('2019-02-20 18:12:30+0000', tz='UTC'), Timestamp('2019-02-20 19:50:00+0000', tz='UTC'), None);1;0
2019-02-20 19:54:30+00:00;2019-02-20 20:50:30+00:00;0 days 00:56:00;slice(Timestamp('2019-02-20 19:54:30+0000', tz='UTC'), Timestamp('2019-02-20 20:50:30+0000', tz='UTC'), None);1;0
2019-02-20 20:54:00+00:00;2019-02-20 21:25:30+00:00;0 days 00:31:30;slice(Timestamp('2019-02-20 20:54:00+0000', tz='UTC'), Timestamp('2019-02-20 21:25:30+0000', tz='UTC'), None);1;0
2019-02-20 21:30:00+00:00;2019-02-20 21:50:30+00:00;0 days 00:20:30;slice(Timestamp('2019-02-20 21:30:00+0000', tz='UTC'), Timestamp('2019-02-20 21:50:30+0000', tz='UTC'), None);1;0
2019-02-21 10:32:00+00:00;2019-02-21 11:02:30+00:00;0 days 00:30:30;slice(Timestamp('2019-02-21 10:32:00+0000', tz='UTC'), Timestamp('2019-02-21 11:02:30+0000', tz='UTC'), None);1;0
2019-02-21 11:12:30+00:00;2019-02-21 11:44:30+00:00;0 days 00:32:00;slice(Timestamp('2019-02-21 11:12:30+0000', tz='UTC'), Timestamp('2019-02-21 11:44:30+0000', tz='UTC'), None);1;0
2019-02-21 12:02:00+00:00;2019-02-21 12:46:00+00:00;0 days 00:44:00;slice(Timestamp('2019-02-21 12:02:00+0000', tz='UTC'), Timestamp('2019-02-21 12:46:00+0000', tz='UTC'), None);1;0
2019-02-21 13:07:30+00:00;2019-02-21 13:17:30+00:00;0 days 00:10:00;slice(Timestamp('2019-02-21 13:07:30+0000', tz='UTC'), Timestamp('2019-02-21 13:17:30+0000', tz='UTC'), None);1;2
2019-02-21 13:28:00+00:00;2019-02-21 13:38:00+00:00;0 days 00:10:00;slice(Timestamp('2019-02-21 13:28:00+0000', tz='UTC'), Timestamp('2019-02-21 13:38:00+0000', tz='UTC'), None);0;1
2019-02-21 14:41:00+00:00;2019-02-21 14:42:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-21 14:41:00+0000', tz='UTC'), Timestamp('2019-02-21 14:42:30+0000', tz='UTC'), None);0;1
2019-02-21 15:43:30+00:00;2019-02-21 15:45:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-21 15:43:30+0000', tz='UTC'), Timestamp('2019-02-21 15:45:00+0000', tz='UTC'), None);0;1
2019-02-21 16:40:00+00:00;2019-02-21 16:41:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-21 16:40:00+0000', tz='UTC'), Timestamp('2019-02-21 16:41:30+0000', tz='UTC'), None);0;1
2019-02-21 16:49:30+00:00;2019-02-21 17:06:00+00:00;0 days 00:16:30;slice(Timestamp('2019-02-21 16:49:30+0000', tz='UTC'), Timestamp('2019-02-21 17:06:00+0000', tz='UTC'), None);1;2
2019-02-21 18:06:30+00:00;2019-02-21 21:05:30+00:00;0 days 02:59:00;slice(Timestamp('2019-02-21 18:06:30+0000', tz='UTC'), Timestamp('2019-02-21 21:05:30+0000', tz='UTC'), None);1;0
2019-02-21 21:09:00+00:00;2019-02-21 21:16:00+00:00;0 days 00:07:00;slice(Timestamp('2019-02-21 21:09:00+0000', tz='UTC'), Timestamp('2019-02-21 21:16:00+0000', tz='UTC'), None);0;1
2019-02-21 21:20:00+00:00;2019-02-21 21:39:00+00:00;0 days 00:19:00;slice(Timestamp('2019-02-21 21:20:00+0000', tz='UTC'), Timestamp('2019-02-21 21:39:00+0000', tz='UTC'), None);1;0
2019-02-22 11:23:30+00:00;2019-02-22 12:23:30+00:00;0 days 01:00:00;slice(Timestamp('2019-02-22 11:23:30+0000', tz='UTC'), Timestamp('2019-02-22 12:23:30+0000', tz='UTC'), None);1;0
2019-02-22 13:18:30+00:00;2019-02-22 14:07:30+00:00;0 days 00:49:00;slice(Timestamp('2019-02-22 13:18:30+0000', tz='UTC'), Timestamp('2019-02-22 14:07:30+0000', tz='UTC'), None);1;0
2019-02-22 15:23:00+00:00;2019-02-22 15:25:00+00:00;0 days 00:02:00;slice(Timestamp('2019-02-22 15:23:00+0000', tz='UTC'), Timestamp('2019-02-22 15:25:00+0000', tz='UTC'), None);0;1
2019-02-22 16:24:00+00:00;2019-02-22 16:46:00+00:00;0 days 00:22:00;slice(Timestamp('2019-02-22 16:24:00+0000', tz='UTC'), Timestamp('2019-02-22 16:46:00+0000', tz='UTC'), None);1;2
2019-02-22 17:16:00+00:00;2019-02-22 18:06:00+00:00;0 days 00:50:00;slice(Timestamp('2019-02-22 17:16:00+0000', tz='UTC'), Timestamp('2019-02-22 18:06:00+0000', tz='UTC'), None);1;0
2019-02-22 18:09:30+00:00;2019-02-22 20:17:00+00:00;0 days 02:07:30;slice(Timestamp('2019-02-22 18:09:30+0000', tz='UTC'), Timestamp('2019-02-22 20:17:00+0000', tz='UTC'), None);1;0
2019-02-22 20:20:30+00:00;2019-02-22 20:56:30+00:00;0 days 00:36:00;slice(Timestamp('2019-02-22 20:20:30+0000', tz='UTC'), Timestamp('2019-02-22 20:56:30+0000', tz='UTC'), None);1;0
