first_min_on;last_min_on;timedelta_on;slice;ALG_catch24_kmeans_2;ALG_catch24_kmeans_7
2019-02-14 15:14:00+00:00;2019-02-14 15:15:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-14 15:14:00+0000', tz='UTC'), Timestamp('2019-02-14 15:15:30+0000', tz='UTC'), None);1;1
2019-02-14 15:24:30+00:00;2019-02-14 15:25:30+00:00;0 days 00:01:00;slice(Timestamp('2019-02-14 15:24:30+0000', tz='UTC'), Timestamp('2019-02-14 15:25:30+0000', tz='UTC'), None);1;0
2019-02-14 15:34:00+00:00;2019-02-14 15:35:00+00:00;0 days 00:01:00;slice(Timestamp('2019-02-14 15:34:00+0000', tz='UTC'), Timestamp('2019-02-14 15:35:00+0000', tz='UTC'), None);1;0
2019-02-14 15:43:30+00:00;2019-02-14 15:45:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-14 15:43:30+0000', tz='UTC'), Timestamp('2019-02-14 15:45:00+0000', tz='UTC'), None);1;3
2019-02-14 15:53:00+00:00;2019-02-14 15:54:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-14 15:53:00+0000', tz='UTC'), Timestamp('2019-02-14 15:54:30+0000', tz='UTC'), None);1;1
2019-02-14 16:03:00+00:00;2019-02-14 16:04:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-14 16:03:00+0000', tz='UTC'), Timestamp('2019-02-14 16:04:30+0000', tz='UTC'), None);1;3
2019-02-14 16:12:30+00:00;2019-02-14 16:14:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-14 16:12:30+0000', tz='UTC'), Timestamp('2019-02-14 16:14:00+0000', tz='UTC'), None);1;3
2019-02-14 16:22:30+00:00;2019-02-14 16:23:30+00:00;0 days 00:01:00;slice(Timestamp('2019-02-14 16:22:30+0000', tz='UTC'), Timestamp('2019-02-14 16:23:30+0000', tz='UTC'), None);1;0
2019-02-14 16:32:00+00:00;2019-02-14 16:33:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-14 16:32:00+0000', tz='UTC'), Timestamp('2019-02-14 16:33:30+0000', tz='UTC'), None);1;3
2019-02-14 16:41:30+00:00;2019-02-14 16:43:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-14 16:41:30+0000', tz='UTC'), Timestamp('2019-02-14 16:43:00+0000', tz='UTC'), None);1;3
2019-02-14 16:51:00+00:00;2019-02-14 16:52:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-14 16:51:00+0000', tz='UTC'), Timestamp('2019-02-14 16:52:30+0000', tz='UTC'), None);1;3
2019-02-14 17:00:30+00:00;2019-02-14 17:01:30+00:00;0 days 00:01:00;slice(Timestamp('2019-02-14 17:00:30+0000', tz='UTC'), Timestamp('2019-02-14 17:01:30+0000', tz='UTC'), None);1;0
2019-02-14 17:10:00+00:00;2019-02-14 17:11:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-14 17:10:00+0000', tz='UTC'), Timestamp('2019-02-14 17:11:30+0000', tz='UTC'), None);1;1
2019-02-14 17:19:30+00:00;2019-02-14 17:21:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-14 17:19:30+0000', tz='UTC'), Timestamp('2019-02-14 17:21:00+0000', tz='UTC'), None);1;3
2019-02-14 17:27:00+00:00;2019-02-14 17:29:00+00:00;0 days 00:02:00;slice(Timestamp('2019-02-14 17:27:00+0000', tz='UTC'), Timestamp('2019-02-14 17:29:00+0000', tz='UTC'), None);1;3
2019-02-14 17:33:30+00:00;2019-02-14 17:35:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-14 17:33:30+0000', tz='UTC'), Timestamp('2019-02-14 17:35:00+0000', tz='UTC'), None);1;3
2019-02-14 17:42:00+00:00;2019-02-14 17:43:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-14 17:42:00+0000', tz='UTC'), Timestamp('2019-02-14 17:43:30+0000', tz='UTC'), None);1;1
2019-02-14 18:00:30+00:00;2019-02-14 18:01:30+00:00;0 days 00:01:00;slice(Timestamp('2019-02-14 18:00:30+0000', tz='UTC'), Timestamp('2019-02-14 18:01:30+0000', tz='UTC'), None);1;0
2019-02-14 18:09:00+00:00;2019-02-14 18:10:00+00:00;0 days 00:01:00;slice(Timestamp('2019-02-14 18:09:00+0000', tz='UTC'), Timestamp('2019-02-14 18:10:00+0000', tz='UTC'), None);1;0
2019-02-14 18:17:00+00:00;2019-02-14 18:20:00+00:00;0 days 00:03:00;slice(Timestamp('2019-02-14 18:17:00+0000', tz='UTC'), Timestamp('2019-02-14 18:20:00+0000', tz='UTC'), None);0;6
