first_min_on;last_min_on;timedelta_on;slice;ALG_catch24_kmeans_4;ALG_catch24_kmeans_3
2019-02-14 13:03:00+00:00;2019-02-14 13:06:30+00:00;0 days 00:03:30;slice(Timestamp('2019-02-14 13:03:00+0000', tz='UTC'), Timestamp('2019-02-14 13:06:30+0000', tz='UTC'), None);1;2
2019-02-14 13:31:30+00:00;2019-02-14 13:35:30+00:00;0 days 00:04:00;slice(Timestamp('2019-02-14 13:31:30+0000', tz='UTC'), Timestamp('2019-02-14 13:35:30+0000', tz='UTC'), None);1;2
2019-02-14 14:01:00+00:00;2019-02-14 14:05:00+00:00;0 days 00:04:00;slice(Timestamp('2019-02-14 14:01:00+0000', tz='UTC'), Timestamp('2019-02-14 14:05:00+0000', tz='UTC'), None);0;0
2019-02-14 14:31:00+00:00;2019-02-14 14:34:30+00:00;0 days 00:03:30;slice(Timestamp('2019-02-14 14:31:00+0000', tz='UTC'), Timestamp('2019-02-14 14:34:30+0000', tz='UTC'), None);1;2
2019-02-14 15:00:30+00:00;2019-02-14 15:04:00+00:00;0 days 00:03:30;slice(Timestamp('2019-02-14 15:00:30+0000', tz='UTC'), Timestamp('2019-02-14 15:04:00+0000', tz='UTC'), None);1;2
2019-02-14 15:30:00+00:00;2019-02-14 15:33:30+00:00;0 days 00:03:30;slice(Timestamp('2019-02-14 15:30:00+0000', tz='UTC'), Timestamp('2019-02-14 15:33:30+0000', tz='UTC'), None);1;2
2019-02-14 15:59:30+00:00;2019-02-14 16:03:00+00:00;0 days 00:03:30;slice(Timestamp('2019-02-14 15:59:30+0000', tz='UTC'), Timestamp('2019-02-14 16:03:00+0000', tz='UTC'), None);1;2
2019-02-14 16:29:00+00:00;2019-02-14 16:32:30+00:00;0 days 00:03:30;slice(Timestamp('2019-02-14 16:29:00+0000', tz='UTC'), Timestamp('2019-02-14 16:32:30+0000', tz='UTC'), None);1;2
2019-02-14 16:58:30+00:00;2019-02-14 17:02:30+00:00;0 days 00:04:00;slice(Timestamp('2019-02-14 16:58:30+0000', tz='UTC'), Timestamp('2019-02-14 17:02:30+0000', tz='UTC'), None);0;0
2019-02-14 17:28:30+00:00;2019-02-14 17:32:00+00:00;0 days 00:03:30;slice(Timestamp('2019-02-14 17:28:30+0000', tz='UTC'), Timestamp('2019-02-14 17:32:00+0000', tz='UTC'), None);1;2
2019-02-14 18:01:30+00:00;2019-02-14 18:05:30+00:00;0 days 00:04:00;slice(Timestamp('2019-02-14 18:01:30+0000', tz='UTC'), Timestamp('2019-02-14 18:05:30+0000', tz='UTC'), None);0;0
2019-02-14 18:31:00+00:00;2019-02-14 18:34:30+00:00;0 days 00:03:30;slice(Timestamp('2019-02-14 18:31:00+0000', tz='UTC'), Timestamp('2019-02-14 18:34:30+0000', tz='UTC'), None);2;1
2019-02-14 18:54:30+00:00;2019-02-14 18:58:30+00:00;0 days 00:04:00;slice(Timestamp('2019-02-14 18:54:30+0000', tz='UTC'), Timestamp('2019-02-14 18:58:30+0000', tz='UTC'), None);0;0
2019-02-14 19:22:30+00:00;2019-02-14 19:26:30+00:00;0 days 00:04:00;slice(Timestamp('2019-02-14 19:22:30+0000', tz='UTC'), Timestamp('2019-02-14 19:26:30+0000', tz='UTC'), None);2;1
2019-02-14 19:52:00+00:00;2019-02-14 19:56:00+00:00;0 days 00:04:00;slice(Timestamp('2019-02-14 19:52:00+0000', tz='UTC'), Timestamp('2019-02-14 19:56:00+0000', tz='UTC'), None);0;0
2019-02-14 20:21:30+00:00;2019-02-14 20:25:30+00:00;0 days 00:04:00;slice(Timestamp('2019-02-14 20:21:30+0000', tz='UTC'), Timestamp('2019-02-14 20:25:30+0000', tz='UTC'), None);0;0
2019-02-14 20:51:00+00:00;2019-02-14 20:55:00+00:00;0 days 00:04:00;slice(Timestamp('2019-02-14 20:51:00+0000', tz='UTC'), Timestamp('2019-02-14 20:55:00+0000', tz='UTC'), None);0;0
2019-02-14 21:17:00+00:00;2019-02-14 21:20:30+00:00;0 days 00:03:30;slice(Timestamp('2019-02-14 21:17:00+0000', tz='UTC'), Timestamp('2019-02-14 21:20:30+0000', tz='UTC'), None);1;2
2019-02-14 21:45:00+00:00;2019-02-14 21:49:00+00:00;0 days 00:04:00;slice(Timestamp('2019-02-14 21:45:00+0000', tz='UTC'), Timestamp('2019-02-14 21:49:00+0000', tz='UTC'), None);0;0
2019-02-14 22:10:00+00:00;2019-02-14 22:14:00+00:00;0 days 00:04:00;slice(Timestamp('2019-02-14 22:10:00+0000', tz='UTC'), Timestamp('2019-02-14 22:14:00+0000', tz='UTC'), None);0;0
2019-02-14 22:39:30+00:00;2019-02-14 22:43:30+00:00;0 days 00:04:00;slice(Timestamp('2019-02-14 22:39:30+0000', tz='UTC'), Timestamp('2019-02-14 22:43:30+0000', tz='UTC'), None);0;0
2019-02-14 23:09:30+00:00;2019-02-14 23:13:30+00:00;0 days 00:04:00;slice(Timestamp('2019-02-14 23:09:30+0000', tz='UTC'), Timestamp('2019-02-14 23:13:30+0000', tz='UTC'), None);0;0
2019-02-14 23:40:30+00:00;2019-02-14 23:44:00+00:00;0 days 00:03:30;slice(Timestamp('2019-02-14 23:40:30+0000', tz='UTC'), Timestamp('2019-02-14 23:44:00+0000', tz='UTC'), None);2;1
2019-02-15 00:11:30+00:00;2019-02-15 00:15:30+00:00;0 days 00:04:00;slice(Timestamp('2019-02-15 00:11:30+0000', tz='UTC'), Timestamp('2019-02-15 00:15:30+0000', tz='UTC'), None);0;0
2019-02-15 00:43:30+00:00;2019-02-15 00:47:30+00:00;0 days 00:04:00;slice(Timestamp('2019-02-15 00:43:30+0000', tz='UTC'), Timestamp('2019-02-15 00:47:30+0000', tz='UTC'), None);0;0
2019-02-15 01:15:30+00:00;2019-02-15 01:19:30+00:00;0 days 00:04:00;slice(Timestamp('2019-02-15 01:15:30+0000', tz='UTC'), Timestamp('2019-02-15 01:19:30+0000', tz='UTC'), None);0;0
2019-02-15 01:48:00+00:00;2019-02-15 01:52:00+00:00;0 days 00:04:00;slice(Timestamp('2019-02-15 01:48:00+0000', tz='UTC'), Timestamp('2019-02-15 01:52:00+0000', tz='UTC'), None);0;0
2019-02-15 02:21:00+00:00;2019-02-15 02:24:30+00:00;0 days 00:03:30;slice(Timestamp('2019-02-15 02:21:00+0000', tz='UTC'), Timestamp('2019-02-15 02:24:30+0000', tz='UTC'), None);2;1
2019-02-15 02:53:30+00:00;2019-02-15 02:57:30+00:00;0 days 00:04:00;slice(Timestamp('2019-02-15 02:53:30+0000', tz='UTC'), Timestamp('2019-02-15 02:57:30+0000', tz='UTC'), None);0;0
2019-02-15 03:26:30+00:00;2019-02-15 03:30:30+00:00;0 days 00:04:00;slice(Timestamp('2019-02-15 03:26:30+0000', tz='UTC'), Timestamp('2019-02-15 03:30:30+0000', tz='UTC'), None);0;0
2019-02-15 03:59:30+00:00;2019-02-15 04:03:30+00:00;0 days 00:04:00;slice(Timestamp('2019-02-15 03:59:30+0000', tz='UTC'), Timestamp('2019-02-15 04:03:30+0000', tz='UTC'), None);0;0
2019-02-15 04:33:00+00:00;2019-02-15 04:37:00+00:00;0 days 00:04:00;slice(Timestamp('2019-02-15 04:33:00+0000', tz='UTC'), Timestamp('2019-02-15 04:37:00+0000', tz='UTC'), None);0;0
2019-02-15 05:06:00+00:00;2019-02-15 05:10:00+00:00;0 days 00:04:00;slice(Timestamp('2019-02-15 05:06:00+0000', tz='UTC'), Timestamp('2019-02-15 05:10:00+0000', tz='UTC'), None);0;0
2019-02-15 05:40:00+00:00;2019-02-15 05:43:30+00:00;0 days 00:03:30;slice(Timestamp('2019-02-15 05:40:00+0000', tz='UTC'), Timestamp('2019-02-15 05:43:30+0000', tz='UTC'), None);1;2
2019-02-15 06:14:00+00:00;2019-02-15 06:17:30+00:00;0 days 00:03:30;slice(Timestamp('2019-02-15 06:14:00+0000', tz='UTC'), Timestamp('2019-02-15 06:17:30+0000', tz='UTC'), None);1;2
2019-02-15 06:48:30+00:00;2019-02-15 06:52:00+00:00;0 days 00:03:30;slice(Timestamp('2019-02-15 06:48:30+0000', tz='UTC'), Timestamp('2019-02-15 06:52:00+0000', tz='UTC'), None);2;1
2019-02-15 07:23:00+00:00;2019-02-15 07:26:30+00:00;0 days 00:03:30;slice(Timestamp('2019-02-15 07:23:00+0000', tz='UTC'), Timestamp('2019-02-15 07:26:30+0000', tz='UTC'), None);0;0
2019-02-15 07:57:30+00:00;2019-02-15 08:01:30+00:00;0 days 00:04:00;slice(Timestamp('2019-02-15 07:57:30+0000', tz='UTC'), Timestamp('2019-02-15 08:01:30+0000', tz='UTC'), None);0;0
2019-02-15 08:32:30+00:00;2019-02-15 08:36:00+00:00;0 days 00:03:30;slice(Timestamp('2019-02-15 08:32:30+0000', tz='UTC'), Timestamp('2019-02-15 08:36:00+0000', tz='UTC'), None);1;2
2019-02-15 09:07:00+00:00;2019-02-15 09:11:00+00:00;0 days 00:04:00;slice(Timestamp('2019-02-15 09:07:00+0000', tz='UTC'), Timestamp('2019-02-15 09:11:00+0000', tz='UTC'), None);0;0
2019-02-15 09:41:30+00:00;2019-02-15 09:45:30+00:00;0 days 00:04:00;slice(Timestamp('2019-02-15 09:41:30+0000', tz='UTC'), Timestamp('2019-02-15 09:45:30+0000', tz='UTC'), None);0;0
2019-02-15 10:16:00+00:00;2019-02-15 10:19:30+00:00;0 days 00:03:30;slice(Timestamp('2019-02-15 10:16:00+0000', tz='UTC'), Timestamp('2019-02-15 10:19:30+0000', tz='UTC'), None);1;2
2019-02-15 10:49:30+00:00;2019-02-15 10:53:00+00:00;0 days 00:03:30;slice(Timestamp('2019-02-15 10:49:30+0000', tz='UTC'), Timestamp('2019-02-15 10:53:00+0000', tz='UTC'), None);1;2
2019-02-15 11:20:00+00:00;2019-02-15 11:24:00+00:00;0 days 00:04:00;slice(Timestamp('2019-02-15 11:20:00+0000', tz='UTC'), Timestamp('2019-02-15 11:24:00+0000', tz='UTC'), None);2;1
