first_min_on;last_min_on;timedelta_on;slice;ALG_catch24_kmeans_2;ALG_catch24_kmeans_8
2019-02-14 01:39:00+00:00;2019-02-14 01:40:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-14 01:39:00+0000', tz='UTC'), Timestamp('2019-02-14 01:40:30+0000', tz='UTC'), None);1;6
2019-02-14 02:00:00+00:00;2019-02-14 02:01:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-14 02:00:00+0000', tz='UTC'), Timestamp('2019-02-14 02:01:30+0000', tz='UTC'), None);1;3
2019-02-14 02:11:00+00:00;2019-02-14 02:13:30+00:00;0 days 00:02:30;slice(Timestamp('2019-02-14 02:11:00+0000', tz='UTC'), Timestamp('2019-02-14 02:13:30+0000', tz='UTC'), None);1;4
2019-02-14 02:20:00+00:00;2019-02-14 02:21:00+00:00;0 days 00:01:00;slice(Timestamp('2019-02-14 02:20:00+0000', tz='UTC'), Timestamp('2019-02-14 02:21:00+0000', tz='UTC'), None);1;0
2019-02-14 02:40:30+00:00;2019-02-14 02:42:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-14 02:40:30+0000', tz='UTC'), Timestamp('2019-02-14 02:42:00+0000', tz='UTC'), None);1;3
2019-02-14 02:47:00+00:00;2019-02-14 02:49:00+00:00;0 days 00:02:00;slice(Timestamp('2019-02-14 02:47:00+0000', tz='UTC'), Timestamp('2019-02-14 02:49:00+0000', tz='UTC'), None);1;4
2019-02-14 03:01:00+00:00;2019-02-14 03:02:00+00:00;0 days 00:01:00;slice(Timestamp('2019-02-14 03:01:00+0000', tz='UTC'), Timestamp('2019-02-14 03:02:00+0000', tz='UTC'), None);1;0
2019-02-14 03:21:00+00:00;2019-02-14 03:23:30+00:00;0 days 00:02:30;slice(Timestamp('2019-02-14 03:21:00+0000', tz='UTC'), Timestamp('2019-02-14 03:23:30+0000', tz='UTC'), None);1;4
2019-02-14 03:41:30+00:00;2019-02-14 03:43:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-14 03:41:30+0000', tz='UTC'), Timestamp('2019-02-14 03:43:00+0000', tz='UTC'), None);1;6
2019-02-14 03:58:00+00:00;2019-02-14 04:00:00+00:00;0 days 00:02:00;slice(Timestamp('2019-02-14 03:58:00+0000', tz='UTC'), Timestamp('2019-02-14 04:00:00+0000', tz='UTC'), None);1;4
2019-02-14 04:02:00+00:00;2019-02-14 04:03:00+00:00;0 days 00:01:00;slice(Timestamp('2019-02-14 04:02:00+0000', tz='UTC'), Timestamp('2019-02-14 04:03:00+0000', tz='UTC'), None);1;0
2019-02-14 04:21:30+00:00;2019-02-14 04:22:30+00:00;0 days 00:01:00;slice(Timestamp('2019-02-14 04:21:30+0000', tz='UTC'), Timestamp('2019-02-14 04:22:30+0000', tz='UTC'), None);1;0
2019-02-14 04:32:00+00:00;2019-02-14 04:34:30+00:00;0 days 00:02:30;slice(Timestamp('2019-02-14 04:32:00+0000', tz='UTC'), Timestamp('2019-02-14 04:34:30+0000', tz='UTC'), None);1;4
2019-02-14 04:40:00+00:00;2019-02-14 04:41:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-14 04:40:00+0000', tz='UTC'), Timestamp('2019-02-14 04:41:30+0000', tz='UTC'), None);1;6
2019-02-14 04:59:30+00:00;2019-02-14 05:01:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-14 04:59:30+0000', tz='UTC'), Timestamp('2019-02-14 05:01:00+0000', tz='UTC'), None);1;3
2019-02-14 05:08:00+00:00;2019-02-14 05:10:00+00:00;0 days 00:02:00;slice(Timestamp('2019-02-14 05:08:00+0000', tz='UTC'), Timestamp('2019-02-14 05:10:00+0000', tz='UTC'), None);1;2
2019-02-14 05:18:00+00:00;2019-02-14 05:19:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-14 05:18:00+0000', tz='UTC'), Timestamp('2019-02-14 05:19:30+0000', tz='UTC'), None);1;3
