first_min_on;last_min_on;timedelta_on;slice;ALG_catch24_kmeans_2;ALG_catch24_kmeans_3;ALG_catch24_kmeans_5;ALG_catch24_kmeans_7;ALG_naive_kmeans_2;ALG_naive_kmeans_3;ALG_naive_kmeans_5;ALG_naive_kmeans_4;ALG_catch24_kmeans_2_r;ALG_catch24_kmeans_3_r;ALG_catch24_kmeans_5_r;ALG_catch24_kmeans_7_r
2019-02-16 23:42:30+00:00;2019-02-17 00:04:00+00:00;0 days 00:21:30;slice(Timestamp('2019-02-16 23:42:30+0000', tz='UTC'), Timestamp('2019-02-17 00:04:00+0000', tz='UTC'), None);1;2;0;1;0;0;0;0;1;2;0;1
2019-02-17 01:19:00+00:00;2019-02-17 01:40:30+00:00;0 days 00:21:30;slice(Timestamp('2019-02-17 01:19:00+0000', tz='UTC'), Timestamp('2019-02-17 01:40:30+0000', tz='UTC'), None);1;2;0;4;0;0;0;0;1;2;0;4
2019-02-17 02:52:30+00:00;2019-02-17 03:12:00+00:00;0 days 00:19:30;slice(Timestamp('2019-02-17 02:52:30+0000', tz='UTC'), Timestamp('2019-02-17 03:12:00+0000', tz='UTC'), None);1;2;0;4;0;0;0;0;1;2;0;4
2019-02-17 03:53:30+00:00;2019-02-17 04:16:30+00:00;0 days 00:23:00;slice(Timestamp('2019-02-17 03:53:30+0000', tz='UTC'), Timestamp('2019-02-17 04:16:30+0000', tz='UTC'), None);1;2;0;4;0;0;0;0;1;2;0;4
2019-02-17 05:24:00+00:00;2019-02-17 05:45:30+00:00;0 days 00:21:30;slice(Timestamp('2019-02-17 05:24:00+0000', tz='UTC'), Timestamp('2019-02-17 05:45:30+0000', tz='UTC'), None);1;2;0;1;0;0;0;0;1;2;0;1
2019-02-17 06:57:30+00:00;2019-02-17 07:10:30+00:00;0 days 00:13:00;slice(Timestamp('2019-02-17 06:57:30+0000', tz='UTC'), Timestamp('2019-02-17 07:10:30+0000', tz='UTC'), None);1;2;3;2;0;0;0;0;1;2;3;2
2019-02-17 07:30:30+00:00;2019-02-17 07:52:00+00:00;0 days 00:21:30;slice(Timestamp('2019-02-17 07:30:30+0000', tz='UTC'), Timestamp('2019-02-17 07:52:00+0000', tz='UTC'), None);1;2;0;4;0;0;0;0;1;2;0;4
2019-02-17 08:57:30+00:00;2019-02-17 09:18:30+00:00;0 days 00:21:00;slice(Timestamp('2019-02-17 08:57:30+0000', tz='UTC'), Timestamp('2019-02-17 09:18:30+0000', tz='UTC'), None);1;2;0;4;0;0;0;0;1;2;0;4
2019-02-17 10:28:00+00:00;2019-02-17 10:49:00+00:00;0 days 00:21:00;slice(Timestamp('2019-02-17 10:28:00+0000', tz='UTC'), Timestamp('2019-02-17 10:49:00+0000', tz='UTC'), None);1;2;0;1;0;0;0;0;1;2;0;1
2019-02-17 12:02:30+00:00;2019-02-17 12:24:30+00:00;0 days 00:22:00;slice(Timestamp('2019-02-17 12:02:30+0000', tz='UTC'), Timestamp('2019-02-17 12:24:30+0000', tz='UTC'), None);1;2;0;1;0;0;0;0;1;2;0;1
